[2025-04-20 13:07:28,479] INFO: {
    "abs_dir": "/home/gjsk/siMLPe/exps/baseline_amass",
    "amass_anno_dir": "/home/gjsk/siMLPe/data/amass/",
    "batch_size": 256,
    "cos_lr_max": 0.0005,
    "cos_lr_mid": 0.0003,
    "cos_lr_min": 1e-05,
    "cos_lr_total_iters": 115000,
    "data_aug": true,
    "link_log_file": "/home/gjsk/siMLPe/exps/baseline_amass/log/log_last.log",
    "link_val_log_file": "/home/gjsk/siMLPe/exps/baseline_amass/log/val_last.log",
    "log_dir": "/home/gjsk/siMLPe/exps/baseline_amass/log",
    "log_file": "/home/gjsk/siMLPe/exps/baseline_amass/log/log_2025_04_20_13_04_50.log",
    "model": "siMLPe_RNN",
    "model_pth": null,
    "motion": {
        "amass_input_length": 10,
        "amass_input_length_dct": 10,
        "amass_target_length": 10,
        "amass_target_length_eval": 25,
        "amass_target_length_train": 10,
        "dim": 54,
        "pw3d_input_length": 10,
        "pw3d_target_length_eval": 25,
        "pw3d_target_length_train": 10
    },
    "motion_fc_in": {
        "activation": "relu",
        "in_features": 54,
        "init_w_trunc_normal": false,
        "out_features": 54,
        "temporal_fc": false,
        "with_norm": false
    },
    "motion_fc_out": {
        "activation": "relu",
        "in_features": 54,
        "init_w_trunc_normal": true,
        "out_features": 54,
        "temporal_fc": false,
        "with_norm": false
    },
    "motion_mlp": {
        "hidden_dim": 54,
        "norm_axis": "spatial",
        "num_layers": 48,
        "seq_len": 10,
        "spatial_fc_only": false,
        "with_normalization": true
    },
    "motion_rnn": {
        "encode_history": true,
        "history_window_size": 10,
        "local_spatial_fc": true,
        "mlp_layers": 12,
        "num_temp_blocks": 1,
        "recursive_residual": true,
        "rnn_blocks": 1,
        "rnn_layers": 1,
        "rnn_state_size": 81,
        "short_term_window_size": 10,
        "use_gru": true
    },
    "num_workers": 8,
    "post_dct": false,
    "pre_dct": false,
    "print_every": 100,
    "pw3d_anno_dir": "/home/gjsk/siMLPe/data/3dpw/sequenceFiles/",
    "repo_name": "siMLPe",
    "residual_output": false,
    "root_dir": "/home/gjsk/siMLPe",
    "save_every": 5000,
    "seed": 888,
    "shift_step": 5,
    "snapshot_dir": "/home/gjsk/siMLPe/exps/baseline_amass/log/snapshot",
    "this_dir": "baseline_amass",
    "use_relative_loss": true,
    "val_log_file": "/home/gjsk/siMLPe/exps/baseline_amass/log/val_2025_04_20_13_04_50.log",
    "weight_decay": 0.0001
}
[2025-04-20 13:07:43,883] INFO: Iter 100 Summary: 
[2025-04-20 13:07:43,884] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.06519655037671328
[2025-04-20 13:07:57,556] INFO: Iter 200 Summary: 
[2025-04-20 13:07:57,557] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.05936277162283659
[2025-04-20 13:08:11,107] INFO: Iter 300 Summary: 
[2025-04-20 13:08:11,108] INFO: 	 lr: 0.0005000000000000003 	 Training loss: 0.056265346519649026
[2025-04-20 13:08:25,097] INFO: Iter 400 Summary: 
